[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 655 
[2018-04-24 23:23:48] [INFO   ] Constructing PIECE Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:655 
[2018-04-24 23:23:48] [INFO   ] Constructing NOTINTERESTED Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 518 
[2018-04-24 23:23:48] [INFO   ] Constructing PIECE Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:518 
[2018-04-24 23:23:48] [INFO   ] Constructing NOTINTERESTED Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 406 
[2018-04-24 23:23:48] [INFO   ] Constructing PIECE Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:406 
[2018-04-24 23:23:48] [INFO   ] Constructing NOTINTERESTED Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 214 
[2018-04-24 23:23:48] [INFO   ] Constructing PIECE Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:214 
[2018-04-24 23:23:48] [INFO   ] Constructing NOTINTERESTED Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 23 
[2018-04-24 23:23:48] [INFO   ] Constructing PIECE Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:23 
[2018-04-24 23:23:48] [INFO   ] Constructing NOTINTERESTED Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 503 
[2018-04-24 23:23:48] [INFO   ] Constructing PIECE Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:503 
[2018-04-24 23:23:48] [INFO   ] Constructing NOTINTERESTED Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 455 
[2018-04-24 23:23:48] [INFO   ] Constructing PIECE Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:455 
[2018-04-24 23:23:48] [INFO   ] Constructing NOTINTERESTED Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 399 
[2018-04-24 23:23:48] [INFO   ] Constructing PIECE Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:399 
[2018-04-24 23:23:48] [INFO   ] Constructing NOTINTERESTED Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 271 
[2018-04-24 23:23:48] [INFO   ] Constructing PIECE Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:271 
[2018-04-24 23:23:48] [INFO   ] Constructing NOTINTERESTED Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 343 
[2018-04-24 23:23:48] [INFO   ] Constructing PIECE Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:343 
[2018-04-24 23:23:48] [INFO   ] Constructing NOTINTERESTED Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 599 
[2018-04-24 23:23:48] [INFO   ] Constructing PIECE Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:599 
[2018-04-24 23:23:48] [INFO   ] Constructing NOTINTERESTED Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 431 
[2018-04-24 23:23:48] [INFO   ] Constructing PIECE Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:431 
[2018-04-24 23:23:48] [INFO   ] Constructing NOTINTERESTED Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 247 
[2018-04-24 23:23:48] [INFO   ] Constructing PIECE Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:247 
[2018-04-24 23:23:48] [INFO   ] Constructing NOTINTERESTED Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 614 
[2018-04-24 23:23:48] [INFO   ] Constructing PIECE Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:614 
[2018-04-24 23:23:48] [INFO   ] Constructing NOTINTERESTED Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 502 
[2018-04-24 23:23:48] [INFO   ] Constructing PIECE Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:502 
[2018-04-24 23:23:48] [INFO   ] Constructing NOTINTERESTED Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 501 
[2018-04-24 23:23:48] [INFO   ] Constructing PIECE Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:501 
[2018-04-24 23:23:48] [INFO   ] Constructing NOTINTERESTED Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 789 
[2018-04-24 23:23:48] [INFO   ] Constructing PIECE Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:789 
[2018-04-24 23:23:48] [INFO   ] Constructing NOTINTERESTED Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 287 
[2018-04-24 23:23:48] [INFO   ] Constructing PIECE Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:287 
[2018-04-24 23:23:48] [INFO   ] Constructing NOTINTERESTED Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 422 
[2018-04-24 23:23:48] [INFO   ] Constructing PIECE Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:422 
[2018-04-24 23:23:48] [INFO   ] Constructing NOTINTERESTED Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 487 
[2018-04-24 23:23:48] [INFO   ] Constructing PIECE Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:487 
[2018-04-24 23:23:48] [INFO   ] Constructing NOTINTERESTED Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 76 
[2018-04-24 23:23:48] [INFO   ] Constructing PIECE Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:76 
[2018-04-24 23:23:48] [INFO   ] Constructing NOTINTERESTED Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 295 
[2018-04-24 23:23:48] [INFO   ] Constructing PIECE Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:295 
[2018-04-24 23:23:48] [INFO   ] Constructing NOTINTERESTED Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 181 
[2018-04-24 23:23:48] [INFO   ] Constructing PIECE Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:181 
[2018-04-24 23:23:48] [INFO   ] Constructing NOTINTERESTED Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 447 
[2018-04-24 23:23:48] [INFO   ] Constructing PIECE Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:447 
[2018-04-24 23:23:48] [INFO   ] Constructing NOTINTERESTED Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 670 
[2018-04-24 23:23:48] [INFO   ] Constructing PIECE Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:670 
[2018-04-24 23:23:48] [INFO   ] Constructing NOTINTERESTED Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 430 
[2018-04-24 23:23:48] [INFO   ] Constructing PIECE Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:430 
[2018-04-24 23:23:48] [INFO   ] Constructing NOTINTERESTED Message 
[2018-04-24 23:23:48] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 167 
[2018-04-24 23:23:48] [INFO   ] Constructing PIECE Message 
